bikes,year,month,day,hourfrom,dayofyear
36,2020,1,9,21,9
27,2020,1,9,22,9
16,2020,1,9,23,9
12,2020,1,10,0,10
2,2020,1,10,1,10
3,2020,1,10,2,10
4,2020,1,10,3,10
7,2020,1,10,4,10
21,2020,1,10,5,10
89,2020,1,10,6,10
230,2020,1,10,7,10
229,2020,1,10,8,10
110,2020,1,10,9,10
79,2020,1,10,10,10
96,2020,1,10,11,10
104,2020,1,10,12,10
110,2020,1,10,13,10
92,2020,1,10,14,10
95,2020,1,10,15,10
117,2020,1,10,16,10
179,2020,1,10,17,10
114,2020,1,10,18,10
79,2020,1,10,19,10
67,2020,1,10,20,10
36,2020,1,10,21,10
67,2020,1,10,22,10
46,2020,1,10,23,10
15,2020,1,11,0,11
19,2020,1,11,1,11
17,2020,1,11,2,11
20,2020,1,11,3,11
11,2020,1,11,4,11
15,2020,1,11,5,11
15,2020,1,11,6,11
28,2020,1,11,7,11
41,2020,1,11,8,11
54,2020,1,11,9,11
49,2020,1,11,10,11
68,2020,1,11,11,11
70,2020,1,11,12,11
63,2020,1,11,13,11
83,2020,1,11,14,11
64,2020,1,11,15,11
73,2020,1,11,16,11
48,2020,1,11,17,11
65,2020,1,11,18,11
27,2020,1,11,19,11
36,2020,1,11,20,11
15,2020,1,11,21,11
20,2020,1,11,22,11
16,2020,1,11,23,11
12,2020,1,12,0,12
6,2020,1,12,1,12
6,2020,1,12,2,12
14,2020,1,12,3,12
3,2020,1,12,4,12
7,2020,1,12,5,12
10,2020,1,12,6,12
9,2020,1,12,7,12
14,2020,1,12,8,12
21,2020,1,12,9,12
24,2020,1,12,10,12
25,2020,1,12,11,12
32,2020,1,12,12,12
44,2020,1,12,13,12
37,2020,1,12,14,12
29,2020,1,12,15,12
40,2020,1,12,16,12
42,2020,1,12,17,12
31,2020,1,12,18,12
25,2020,1,12,19,12
12,2020,1,12,20,12
16,2020,1,12,21,12
7,2020,1,12,22,12
3,2020,1,12,23,12
4,2020,1,13,0,13
3,2020,1,13,1,13
1,2020,1,13,2,13
5,2020,1,13,3,13
4,2020,1,13,4,13
15,2020,1,13,5,13
83,2020,1,13,6,13
239,2020,1,13,7,13
241,2020,1,13,8,13
96,2020,1,13,9,13
44,2020,1,13,10,13
40,2020,1,13,11,13
85,2020,1,13,12,13
110,2020,1,13,13,13
76,2020,1,13,14,13
93,2020,1,13,15,13
157,2020,1,13,16,13
183,2020,1,13,17,13
147,2020,1,13,18,13
70,2020,1,13,19,13
42,2020,1,13,20,13
30,2020,1,13,21,13
25,2020,1,13,22,13
7,2020,1,13,23,13
2,2020,1,14,0,14
5,2020,1,14,1,14
1,2020,1,14,2,14
4,2020,1,14,3,14
3,2020,1,14,4,14
28,2020,1,14,5,14
102,2020,1,14,6,14
301,2020,1,14,7,14
257,2020,1,14,8,14
112,2020,1,14,9,14
62,2020,1,14,10,14
89,2020,1,14,11,14
113,2020,1,14,12,14
94,2020,1,14,13,14
73,2020,1,14,14,14
81,2020,1,14,15,14
143,2020,1,14,16,14
208,2020,1,14,17,14
142,2020,1,14,18,14
81,2020,1,14,19,14
56,2020,1,14,20,14
32,2020,1,14,21,14
18,2020,1,14,22,14
17,2020,1,14,23,14
2,2020,1,15,0,15
4,2020,1,15,1,15
3,2020,1,15,2,15
1,2020,1,15,3,15
5,2020,1,15,4,15
20,2020,1,15,5,15
102,2020,1,15,6,15
262,2020,1,15,7,15
257,2020,1,15,8,15
117,2020,1,15,9,15
65,2020,1,15,10,15
105,2020,1,15,11,15
112,2020,1,15,12,15
119,2020,1,15,13,15
73,2020,1,15,14,15
97,2020,1,15,15,15
131,2020,1,15,16,15
217,2020,1,15,17,15
139,2020,1,15,18,15
85,2020,1,15,19,15
58,2020,1,15,20,15
43,2020,1,15,21,15
25,2020,1,15,22,15
7,2020,1,15,23,15
11,2020,1,16,0,16
5,2020,1,16,1,16
2,2020,1,16,2,16
1,2020,1,16,3,16
5,2020,1,16,4,16
15,2020,1,16,5,16
94,2020,1,16,6,16
246,2020,1,16,7,16
240,2020,1,16,8,16
77,2020,1,16,9,16
52,2020,1,16,10,16
64,2020,1,16,11,16
95,2020,1,16,12,16
118,2020,1,16,13,16
74,2020,1,16,14,16
94,2020,1,16,15,16
180,2020,1,16,16,16
219,2020,1,16,17,16
166,2020,1,16,18,16
100,2020,1,16,19,16
48,2020,1,16,20,16
32,2020,1,16,21,16
36,2020,1,16,22,16
20,2020,1,16,23,16
2,2020,1,17,0,17
1,2020,1,17,1,17
3,2020,1,17,2,17
