day,category,passengers,flights
2022-04-18,Fracht Express,0,4
2022-04-17,Passagierverkehr,26053,193
2022-04-16,Passagierverkehr,24584,182
2022-04-16,Fracht Express,0,2
2022-04-16,Fracht Cargo,0,2
2022-04-15,Fracht Express,0,8
2022-04-15,Andere Kategorien,12,41
2022-04-14,Fracht Express,0,19
2022-04-14,Fracht Cargo,0,
2022-04-14,Andere Kategorien,10,53
2022-04-12,Fracht Express,0,18
2022-04-12,Andere Kategorien,12,40
2022-04-11,Passagierverkehr,19236,167
2022-04-11,Fracht Cargo,0,2
2022-04-09,Passagierverkehr,21489,170
2022-04-09,Fracht Express,0,4
2022-04-08,Passagierverkehr,20698,197
2022-04-08,Fracht Express,0,9
2022-04-06,Andere Kategorien,31,40
2022-04-05,Passagierverkehr,13208,140
2022-04-05,Fracht Express,0,20
2022-04-04,Passagierverkehr,16365,160
2022-04-03,Fracht Express,0,
2022-04-02,Passagierverkehr,17245,151
2022-04-02,Fracht Express,0,2
2022-03-31,Passagierverkehr,14935,160
2022-03-31,Fracht Express,0,18
2022-03-31,Fracht Cargo,0,
2022-03-31,Andere Kategorien,29,27
2022-03-30,Fracht Express,0,18
2022-03-27,Passagierverkehr,20233,182
2022-03-26,Andere Kategorien,3,84
2022-03-25,Fracht Express,0,12
2022-03-25,Fracht Cargo,0,2
2022-03-24,Passagierverkehr,11920,114
2022-03-24,Andere Kategorien,2,123
2022-03-23,Passagierverkehr,10906,122
2022-03-22,Passagierverkehr,11765,112
2022-03-22,Andere Kategorien,2,77
2022-03-21,Passagierverkehr,14645,144
2022-03-21,Andere Kategorien,0,69
2022-03-19,Fracht Express,0,4
2022-03-19,Fracht Cargo,0,2
2022-03-18,Fracht Express,0,13
2022-03-18,Andere Kategorien,3,90
2022-03-16,Fracht Express,0,20
2022-03-16,Andere Kategorien,12,42
2022-03-14,Passagierverkehr,13514,127
2022-03-14,Fracht Cargo,0,2
2022-03-13,Fracht Express,0,
2022-03-13,Andere Kategorien,10,79
2022-03-11,Fracht Express,0,13
2022-03-10,Fracht Express,0,18
2022-03-09,Passagierverkehr,10518,106
2022-03-09,Fracht Express,0,18
2022-03-08,Fracht Express,0,18
2022-03-07,Fracht Cargo,0,2
2022-03-05,Andere Kategorien,0,70
2022-03-04,Passagierverkehr,17886,148
2022-03-04,Fracht Cargo,0,2
2022-03-03,Fracht Cargo,0,1
2022-03-02,Fracht Express,0,18
2022-03-02,Andere Kategorien,6,53
2022-03-01,Passagierverkehr,12944,110
2022-03-01,Andere Kategorien,9,65
2022-02-28,Andere Kategorien,2,68
2022-02-27,Passagierverkehr,18885,149
2022-02-27,Fracht Cargo,0,
2022-02-27,Andere Kategorien,3,66
2022-02-26,Passagierverkehr,15300,111
2022-02-26,Fracht Express,0,4
2022-02-25,Passagierverkehr,17441,143
2022-02-25,Andere Kategorien,11,109
2022-02-24,Passagierverkehr,12024,108
2022-02-23,Fracht Express,0,18
2022-02-23,Andere Kategorien,1,70
2022-02-22,Fracht Cargo,0,
2022-02-22,Andere Kategorien,6,41
2022-02-21,Fracht Express,0,17
2022-02-21,Fracht Cargo,0,2
2022-02-19,Fracht Cargo,0,4
2022-02-19,Andere Kategorien,5,118
2022-02-18,Andere Kategorien,4,125
2022-02-17,Passagierverkehr,11794,100
2022-02-17,Fracht Express,0,18
2022-02-16,Passagierverkehr,8236,80
2022-02-16,Fracht Express,0,18
2022-02-16,Fracht Cargo,0,4
2022-02-15,Fracht Express,0,18
2022-02-15,Andere Kategorien,10,52
2022-02-14,Fracht Express,0,15
2022-02-13,Passagierverkehr,16456,136
2022-02-13,Fracht Cargo,0,
2022-02-12,Passagierverkehr,13484,105
2022-02-11,Passagierverkehr,15120,137
2022-02-10,Passagierverkehr,9300,94
2022-02-10,Fracht Express,0,18
2022-02-08,Passagierverkehr,7320,81
2022-02-08,Fracht Express,0,18
2022-02-08,Fracht Cargo,0,
2022-02-08,Andere Kategorien,14,107
