day,category,passengers,flights
2022-07-19,Fracht Express,0,18
2022-07-19,Andere Kategorien,8,71
2022-07-17,Fracht Express,0,
2022-07-17,Andere Kategorien,11,50
2022-07-16,Andere Kategorien,13,67
2022-07-15,Passagierverkehr,24661,199
2022-07-14,Fracht Cargo,0,
2022-07-13,Fracht Express,0,18
2022-07-12,Fracht Express,0,18
2022-07-12,Fracht Cargo,0,
2022-07-12,Andere Kategorien,8,84
2022-07-11,Fracht Cargo,0,2
2022-07-11,Andere Kategorien,16,45
2022-07-10,Passagierverkehr,26501,200
2022-07-09,Fracht Express,0,2
2022-07-08,Fracht Express,0,11
2022-07-08,Fracht Cargo,0,2
2022-07-07,Fracht Cargo,0,
2022-07-07,Andere Kategorien,0,48
2022-07-06,Fracht Cargo,0,4
2022-07-05,Fracht Cargo,0,
2022-07-03,Passagierverkehr,26046,189
2022-07-03,Fracht Express,0,
2022-07-02,Fracht Express,0,2
2022-07-02,Andere Kategorien,16,77
2022-07-01,Andere Kategorien,9,99
2022-06-29,Fracht Express,0,18
2022-06-28,Passagierverkehr,20178,182
2022-06-28,Fracht Express,0,18
2022-06-28,Fracht Cargo,0,
2022-06-27,Andere Kategorien,22,43
2022-06-25,Fracht Cargo,0,4
2022-06-24,Fracht Cargo,0,2
2022-06-23,Fracht Express,0,18
2022-06-23,Fracht Cargo,0,
2022-06-21,Fracht Express,0,18
2022-06-21,Fracht Cargo,0,
2022-06-20,Fracht Express,0,14
2022-06-20,Fracht Cargo,0,2
2022-06-19,Fracht Cargo,0,
2022-06-18,Fracht Express,0,2
2022-06-18,Andere Kategorien,15,79
2022-06-17,Fracht Express,0,14
2022-06-16,Fracht Cargo,0,
2022-06-16,Andere Kategorien,51,50
2022-06-15,Passagierverkehr,20194,256
2022-06-13,Andere Kategorien,40,72
2022-06-12,Passagierverkehr,28055,233
2022-06-11,Fracht Cargo,0,4
2022-06-09,Fracht Cargo,0,
2022-06-08,Fracht Express,0,18
2022-06-08,Fracht Cargo,0,4
2022-06-07,Passagierverkehr,24858,204
2022-06-07,Fracht Express,0,17
2022-06-06,Passagierverkehr,25327,191
2022-06-06,Fracht Express,0,6
2022-06-05,Andere Kategorien,8,15
2022-06-04,Fracht Express,0,2
2022-06-04,Fracht Cargo,0,4
2022-06-04,Andere Kategorien,16,121
2022-06-03,Passagierverkehr,25549,210
2022-06-03,Fracht Express,0,15
2022-06-02,Fracht Express,0,18
2022-06-02,Andere Kategorien,11,31
2022-05-31,Fracht Express,0,18
2022-05-31,Fracht Cargo,0,
2022-05-31,Andere Kategorien,2,44
2022-05-30,Fracht Cargo,0,2
2022-05-29,Passagierverkehr,26366,203
2022-05-28,Passagierverkehr,23102,171
2022-05-27,Passagierverkehr,25337,184
2022-05-27,Fracht Cargo,0,2
2022-05-26,Passagierverkehr,26099,200
2022-05-26,Fracht Cargo,0,
2022-05-25,Andere Kategorien,13,101
2022-05-24,Fracht Express,0,18
2022-05-24,Fracht Cargo,0,
2022-05-23,Fracht Cargo,0,2
2022-05-21,Andere Kategorien,5,72
2022-05-20,Passagierverkehr,23557,197
2022-05-20,Andere Kategorien,8,57
2022-05-19,Fracht Cargo,0,1
2022-05-17,Passagierverkehr,16341,153
2022-05-17,Fracht Express,0,18
2022-05-15,Passagierverkehr,25030,201
2022-05-15,Andere Kategorien,27,55
2022-05-14,Fracht Cargo,0,4
2022-05-13,Andere Kategorien,10,62
2022-05-12,Fracht Express,0,18
2022-05-12,Andere Kategorien,9,83
2022-05-11,Fracht Express,0,18
2022-05-10,Passagierverkehr,15453,150
2022-05-09,Andere Kategorien,10,63
2022-05-08,Passagierverkehr,24249,201
2022-05-08,Fracht Cargo,0,
2022-05-05,Fracht Express,0,18
2022-05-04,Fracht Cargo,0,4
2022-05-03,Fracht Cargo,0,
2022-05-02,Fracht Cargo,0,2
2022-05-01,Passagierverkehr,22919,192
2022-05-01,Fracht Cargo,0,
2022-05-01,Andere Kategorien,0,34
2022-04-30,Passagierverkehr,22558,172
2022-04-30,Fracht Cargo,0,6
2022-04-29,Andere Kategorien,5,116
2022-04-28,Fracht Cargo,0,
2022-04-25,Fracht Express,0,14
2022-04-24,Passagierverkehr,26271,207
2022-04-24,Fracht Cargo,0,
2022-04-22,Passagierverkehr,24511,182
2022-04-22,Fracht Cargo,0,2
2022-04-20,Fracht Cargo,0,6
2022-04-20,Andere Kategorien,0,45
2022-04-19,Passagierverkehr,23689,173
2022-04-18,Fracht Cargo,0,2
2022-04-18,Andere Kategorien,6,47
2022-04-15,Fracht Cargo,0,2
2022-04-13,Passagierverkehr,19666,172
2022-04-13,Fracht Cargo,0,4
2022-04-11,Fracht Express,0,15
2022-04-11,Andere Kategorien,25,81
2022-04-10,Andere Kategorien,13,102
2022-04-09,Andere Kategorien,0,17
2022-04-08,Andere Kategorien,25,17
2022-04-07,Passagierverkehr,15584,173
2022-04-07,Fracht Cargo,0,
2022-04-06,Passagierverkehr,12515,143
2022-04-06,Fracht Express,0,18
2022-04-05,Fracht Cargo,0,
2022-04-04,Fracht Express,0,15
2022-04-04,Andere Kategorien,11,63
2022-04-03,Passagierverkehr,20220,174
2022-04-03,Andere Kategorien,9,13
2022-04-02,Fracht Cargo,0,4
2022-04-02,Andere Kategorien,0,8
2022-04-01,Passagierverkehr,19160,167
2022-03-30,Fracht Cargo,0,4
2022-03-29,Fracht Express,0,18
2022-03-29,Fracht Cargo,0,
2022-03-28,Fracht Cargo,0,2
2022-03-28,Andere Kategorien,25,60
2022-03-27,Fracht Express,0,
2022-03-26,Passagierverkehr,14852,125
2022-03-25,Passagierverkehr,18302,157
2022-03-25,Andere Kategorien,11,93
2022-03-24,Fracht Cargo,0,
2022-03-23,Fracht Cargo,0,4
2022-03-22,Fracht Cargo,0,
2022-03-21,Fracht Express,0,15
2022-03-21,Fracht Cargo,0,2
2022-03-20,Passagierverkehr,18729,156
2022-03-20,Fracht Express,0,
2022-03-19,Passagierverkehr,14800,133
2022-03-19,Andere Kategorien,24,38
2022-03-18,Passagierverkehr,16823,147
2022-03-18,Fracht Cargo,0,2
2022-03-17,Fracht Express,0,22
2022-03-17,Fracht Cargo,0,
2022-03-15,Passagierverkehr,11537,110
2022-03-14,Andere Kategorien,3,64
2022-03-13,Passagierverkehr,17474,148
2022-03-12,Fracht Cargo,0,2
2022-03-11,Andere Kategorien,1,51
2022-03-10,Passagierverkehr,11442,105
2022-03-10,Fracht Cargo,0,
2022-03-09,Fracht Cargo,0,7
2022-03-09,Andere Kategorien,12,70
2022-03-08,Passagierverkehr,11716,109
2022-03-07,Fracht Express,0,15
2022-03-07,Andere Kategorien,7,56
2022-03-06,Fracht Cargo,0,
2022-03-06,Andere Kategorien,4,63
2022-03-05,Passagierverkehr,15618,125
2022-03-05,Fracht Cargo,0,4
2022-03-04,Fracht Express,0,13
2022-03-03,Passagierverkehr,11754,105
2022-03-02,Passagierverkehr,10954,98
2022-03-01,Fracht Express,0,18
2022-03-01,Fracht Cargo,0,2
2022-02-28,Fracht Cargo,0,
2022-02-26,Fracht Cargo,0,4
2022-02-25,Fracht Express,0,13
2022-02-24,Fracht Express,0,18
2022-02-24,Fracht Cargo,0,
2022-02-24,Andere Kategorien,0,31
2022-02-23,Fracht Cargo,0,4
2022-02-21,Passagierverkehr,12941,111
2022-02-21,Andere Kategorien,0,10
2022-02-20,Passagierverkehr,17573,138
2022-02-20,Fracht Express,0,
2022-02-20,Fracht Cargo,0,
2022-02-18,Passagierverkehr,15656,127
2022-02-18,Fracht Express,0,13
2022-02-17,Fracht Cargo,0,
2022-02-17,Andere Kategorien,12,11
2022-02-15,Passagierverkehr,10170,83
2022-02-14,Passagierverkehr,12538,110
2022-02-14,Andere Kategorien,3,32
2022-02-11,Fracht Express,0,13
2022-02-11,Fracht Cargo,0,2
2022-02-09,Passagierverkehr,6381,69
2022-02-09,Fracht Cargo,0,4
2022-02-09,Andere Kategorien,2,113
2022-02-07,Passagierverkehr,9661,102
2022-02-06,Passagierverkehr,11819,104
2022-02-06,Fracht Cargo,0,
2022-02-05,Passagierverkehr,9519,83
2022-02-05,Fracht Express,0,4
2022-02-05,Fracht Cargo,0,4
2022-02-04,Fracht Express,0,14
2022-02-04,Fracht Cargo,0,2
2022-02-03,Passagierverkehr,4729,56
2022-02-03,Fracht Express,0,18
2022-02-03,Fracht Cargo,0,1
2022-02-02,Fracht Express,0,18
2022-02-01,Fracht Cargo,0,2
2022-02-01,Andere Kategorien,1,12
2022-01-31,Fracht Cargo,0,
2022-01-31,Andere Kategorien,0,21
2022-01-30,Andere Kategorien,5,31
2022-01-26,Fracht Express,0,20
2022-01-25,Passagierverkehr,3052,44
2022-01-24,Andere Kategorien,4,66
2022-01-22,Fracht Cargo,0,4
2022-01-21,Fracht Cargo,0,2
2022-01-21,Andere Kategorien,11,104
2022-01-20,Passagierverkehr,3107,47
2022-01-19,Passagierverkehr,2994,54
2022-01-19,Andere Kategorien,2,64
2022-01-17,Andere Kategorien,8,78
2022-01-16,Fracht Express,0,
2022-01-15,Andere Kategorien,0,6
2022-01-14,Fracht Express,0,14
2022-01-13,Andere Kategorien,4,101
2022-01-11,Fracht Express,0,17
2022-01-11,Andere Kategorien,3,13
2022-01-10,Andere Kategorien,10,41
2022-01-09,Fracht Cargo,0,
2022-01-08,Passagierverkehr,12640,113
2022-01-08,Fracht Express,0,4
2022-01-08,Fracht Cargo,0,4
2022-01-08,Andere Kategorien,3,69
2022-01-07,Fracht Cargo,0,2
2022-01-07,Andere Kategorien,6,45
2022-01-06,Fracht Cargo,0,
2022-01-04,Passagierverkehr,12469,128
2022-01-03,Fracht Express,0,14
2022-01-03,Fracht Cargo,0,
2022-01-01,Fracht Express,0,1
2022-01-01,Fracht Cargo,0,2
2022-01-01,Andere Kategorien,5,57
2021-12-31,Fracht Express,0,9
2021-12-30,Passagierverkehr,16926,151
2021-12-30,Fracht Cargo,0,
2021-12-28,Passagierverkehr,14717,136
2021-12-28,Fracht Express,0,16
2021-12-26,Passagierverkehr,16704,163
2021-12-24,Passagierverkehr,13662,125
2021-12-24,Fracht Express,0,11
2021-12-24,Andere Kategorien,0,12
2021-12-22,Passagierverkehr,14633,161
2021-12-22,Andere Kategorien,6,117
2021-12-21,Andere Kategorien,0,64
2021-12-20,Passagierverkehr,12670,132
2021-12-20,Fracht Express,0,15
2021-12-20,Fracht Cargo,0,3
2021-12-19,Fracht Express,0,
2021-12-17,Passagierverkehr,13839,151
2021-12-17,Fracht Cargo,0,4
2021-12-16,Andere Kategorien,1,42
2021-12-15,Passagierverkehr,5916,83
2021-12-15,Fracht Cargo,0,4
2021-12-15,Andere Kategorien,4,32
2021-12-13,Fracht Express,0,15
2021-12-13,Fracht Cargo,0,2
2021-12-12,Fracht Cargo,0,2
2021-12-12,Andere Kategorien,0,65
2021-12-11,Passagierverkehr,9273,92
2021-12-11,Fracht Cargo,0,2
2021-12-11,Andere Kategorien,6,56
2021-12-09,Passagierverkehr,6148,82
2021-12-06,Passagierverkehr,8998,117
2021-12-06,Andere Kategorien,7,54
2021-12-05,Fracht Cargo,0,2
2021-12-03,Passagierverkehr,12421,140
2021-12-03,Fracht Cargo,0,6
2021-12-03,Andere Kategorien,5,131
2021-11-30,Fracht Express,0,20
2021-11-28,Passagierverkehr,13999,140
2021-11-28,Fracht Express,0,
2021-11-28,Fracht Cargo,0,4
2021-11-28,Andere Kategorien,0,6
2021-11-27,Passagierverkehr,10390,98
2021-11-25,Fracht Express,0,18
2021-11-24,Passagierverkehr,5603,71
2021-11-24,Fracht Express,0,18
2021-11-24,Fracht Cargo,0,4
2021-11-23,Passagierverkehr,7365,81
2021-11-23,Fracht Express,0,16
2021-11-23,Andere Kategorien,3,83
2021-11-21,Andere Kategorien,5,17
2021-11-20,Passagierverkehr,10150,99
2021-11-19,Fracht Cargo,0,4
2021-11-18,Fracht Express,0,17
2021-11-18,Andere Kategorien,9,121
2021-11-16,Fracht Express,0,19
2021-11-16,Andere Kategorien,3,20
2021-11-15,Fracht Cargo,0,4
2021-11-14,Passagierverkehr,17195,151
2021-11-14,Fracht Express,0,
2021-11-13,Fracht Express,0,6
2021-11-12,Passagierverkehr,15876,142
2021-11-11,Passagierverkehr,9546,92
2021-11-10,Fracht Express,0,20
2021-11-10,Andere Kategorien,27,104
2021-11-09,Fracht Express,0,18
2021-11-08,Passagierverkehr,11766,118
2021-11-08,Fracht Express,0,15
2021-11-08,Andere Kategorien,2,29
2021-11-07,Fracht Cargo,0,2
2021-11-07,Andere Kategorien,8,72
2021-11-06,Fracht Cargo,0,4
2021-11-06,Andere Kategorien,7,52
2021-11-05,Fracht Express,0,13
2021-11-04,Passagierverkehr,11963,117
2021-11-04,Fracht Express,0,18
2021-11-04,Andere Kategorien,16,34
2021-11-03,Andere Kategorien,6,39
2021-11-02,Andere Kategorien,15,39
2021-11-01,Fracht Cargo,0,
2022-07-23,Passagierverkehr,28227,216
2022-07-23,Andere Kategorien,4,46
2022-07-22,Passagierverkehr,24824,199
2022-07-22,Andere Kategorien,4,85
2022-07-21,Passagierverkehr,26703,211
2022-07-19,Fracht Cargo,0,
2022-07-18,Passagierverkehr,24855,198
2022-07-18,Andere Kategorien,0,71
2022-07-17,Passagierverkehr,27634,205
2022-07-16,Passagierverkehr,27261,215
2022-07-16,Fracht Express,0,2
2022-07-15,Andere Kategorien,9,128
2022-07-14,Fracht Express,0,18
2022-07-14,Andere Kategorien,9,47
2022-07-13,Passagierverkehr,21698,185
2022-07-12,Passagierverkehr,22271,196
2022-07-11,Fracht Express,0,15
2022-07-10,Fracht Express,0,
2022-07-10,Andere Kategorien,16,52
2022-07-09,Passagierverkehr,24032,207
2022-07-09,Fracht Cargo,0,6
2022-07-08,Passagierverkehr,22443,203
2022-07-08,Andere Kategorien,24,98
2022-07-07,Passagierverkehr,23087,208
2022-07-07,Fracht Express,0,18
2022-07-06,Andere Kategorien,7,53
2022-07-05,Passagierverkehr,21331,187
2022-07-05,Fracht Express,0,18
2022-07-04,Passagierverkehr,21747,175
2022-07-04,Fracht Express,0,15
2022-07-04,Fracht Cargo,0,2
2022-07-04,Andere Kategorien,8,39
2022-07-02,Passagierverkehr,23119,199
2022-07-02,Fracht Cargo,0,4
2022-07-01,Passagierverkehr,22437,194
2022-07-01,Fracht Cargo,0,2
2022-06-30,Passagierverkehr,22203,186
2022-06-30,Andere Kategorien,8,63
2022-06-29,Andere Kategorien,13,94
2022-06-27,Fracht Express,0,16
2022-06-26,Fracht Express,0,
2022-06-26,Fracht Cargo,0,
2022-06-25,Passagierverkehr,21329,160
2022-06-25,Fracht Express,0,2
2022-06-25,Andere Kategorien,10,86
2022-06-24,Passagierverkehr,22211,181
2022-06-23,Passagierverkehr,23684,196
2022-06-23,Andere Kategorien,34,32
2022-06-22,Passagierverkehr,18259,169
2022-06-21,Andere Kategorien,6,74
2022-06-20,Passagierverkehr,21957,190
2022-06-20,Andere Kategorien,7,35
2022-06-19,Fracht Express,0,
2022-06-18,Passagierverkehr,23703,174
2022-06-17,Andere Kategorien,11,74
2022-06-16,Fracht Express,0,18
2022-06-15,Fracht Express,0,18
2022-06-15,Andere Kategorien,47,79
2022-06-14,Fracht Cargo,0,
2022-06-14,Andere Kategorien,24,62
2022-06-13,Passagierverkehr,21752,246
2022-06-13,Fracht Express,0,16
2022-06-12,Fracht Express,0,
2022-06-12,Fracht Cargo,0,
2022-06-11,Passagierverkehr,22838,185
2022-06-10,Fracht Cargo,0,2
2022-06-09,Passagierverkehr,23924,204
2022-06-09,Andere Kategorien,7,39
2022-06-08,Passagierverkehr,19006,170
2022-06-08,Andere Kategorien,8,40
2022-06-07,Fracht Cargo,0,
2022-06-07,Andere Kategorien,17,51
2022-06-06,Fracht Cargo,0,2
2022-06-06,Andere Kategorien,4,82
2022-06-05,Fracht Cargo,0,
2022-06-04,Passagierverkehr,22514,172
2022-06-03,Fracht Cargo,0,2
2022-06-03,Andere Kategorien,12,54
2022-06-02,Passagierverkehr,23787,199
2022-06-02,Fracht Cargo,0,
2022-06-01,Passagierverkehr,18798,173
2022-06-01,Andere Kategorien,13,86
2022-05-31,Passagierverkehr,21089,185
2022-05-30,Fracht Express,0,15
2022-05-30,Andere Kategorien,21,75
2022-05-29,Fracht Express,0,
2022-05-27,Andere Kategorien,5,87
2022-05-25,Passagierverkehr,22302,196
2022-05-24,Andere Kategorien,7,38
2022-05-22,Passagierverkehr,24134,183
2022-05-22,Fracht Express,0,
2022-05-22,Fracht Cargo,0,
2022-05-21,Passagierverkehr,23152,176
2022-05-21,Fracht Cargo,0,4
2022-05-19,Passagierverkehr,21116,189
2022-05-18,Passagierverkehr,14946,165
2022-05-18,Fracht Express,0,20
2022-05-18,Andere Kategorien,9,93
2022-05-17,Andere Kategorien,3,51
2022-05-16,Fracht Express,0,15
2022-05-16,Fracht Cargo,0,2
2022-05-15,Fracht Express,0,
2022-05-14,Passagierverkehr,22029,180
2022-05-14,Fracht Express,0,2
2022-05-14,Andere Kategorien,29,110
2022-05-13,Passagierverkehr,22640,196
2022-05-13,Fracht Express,0,13
2022-05-11,Passagierverkehr,13763,152
2022-05-10,Fracht Express,0,18
2022-05-10,Fracht Cargo,0,
2022-05-10,Andere Kategorien,13,90
2022-05-09,Fracht Express,0,15
2022-05-07,Passagierverkehr,20582,180
2022-05-07,Fracht Express,0,2
2022-05-07,Fracht Cargo,0,4
2022-05-06,Fracht Express,0,13
2022-05-06,Andere Kategorien,13,30
2022-05-05,Fracht Cargo,0,
2022-05-05,Andere Kategorien,20,16
2022-05-04,Passagierverkehr,13743,152
2022-05-04,Fracht Express,0,19
2022-05-04,Andere Kategorien,7,43
2022-05-03,Passagierverkehr,16329,152
2022-05-03,Fracht Express,0,17
2022-05-02,Passagierverkehr,19663,173
2022-05-02,Fracht Express,0,15
2022-04-30,Andere Kategorien,11,36
2022-04-29,Passagierverkehr,22903,195
2022-04-29,Fracht Express,0,13
2022-04-28,Passagierverkehr,21592,191
2022-04-28,Andere Kategorien,8,65
2022-04-27,Passagierverkehr,16179,169
2022-04-27,Fracht Express,0,18
2022-04-27,Fracht Cargo,0,4
2022-04-27,Andere Kategorien,6,111
2022-04-26,Fracht Express,0,16
2022-04-26,Fracht Cargo,0,
2022-04-26,Andere Kategorien,4,23
2022-04-25,Andere Kategorien,5,15
2022-04-24,Andere Kategorien,5,23
2022-04-23,Passagierverkehr,24552,182
2022-04-23,Fracht Express,0,2
2022-04-23,Fracht Cargo,0,4
2022-04-21,Passagierverkehr,24087,188
2022-04-19,Fracht Express,0,14
2022-04-17,Fracht Express,0,
2022-04-17,Fracht Cargo,0,
2022-04-17,Andere Kategorien,0,18
2022-04-16,Andere Kategorien,0,30
2022-04-15,Passagierverkehr,25658,196
2022-04-14,Passagierverkehr,25452,206
2022-04-13,Fracht Express,0,17
2022-04-13,Andere Kategorien,9,40
2022-04-12,Passagierverkehr,18795,175
2022-04-12,Fracht Cargo,0,
2022-04-10,Passagierverkehr,23296,188
2022-04-10,Fracht Express,0,
2022-04-10,Fracht Cargo,0,1
2022-04-09,Fracht Cargo,0,4
2022-04-08,Fracht Cargo,0,2
2022-04-07,Fracht Express,0,18
2022-04-07,Andere Kategorien,21,17
2022-04-06,Fracht Cargo,0,4
2022-04-05,Andere Kategorien,11,16
2022-04-04,Fracht Cargo,0,2
2022-04-03,Fracht Cargo,0,
2022-04-01,Fracht Express,0,13
2022-04-01,Fracht Cargo,0,2
2022-04-01,Andere Kategorien,8,12
2022-03-30,Passagierverkehr,11621,144
2022-03-30,Andere Kategorien,4,27
2022-03-29,Passagierverkehr,13859,149
2022-03-29,Andere Kategorien,7,64
2022-03-28,Passagierverkehr,15300,151
2022-03-28,Fracht Express,0,16
2022-03-27,Fracht Cargo,0,
2022-03-27,Andere Kategorien,10,96
2022-03-26,Fracht Express,0,4
2022-03-26,Fracht Cargo,0,4
2022-03-24,Fracht Express,0,18
2022-03-23,Fracht Express,0,18
2022-03-23,Andere Kategorien,3,98
2022-03-22,Fracht Express,0,18
2022-03-20,Fracht Cargo,0,2
2022-03-20,Andere Kategorien,5,47
2022-03-17,Passagierverkehr,11284,109
2022-03-17,Andere Kategorien,16,62
2022-03-16,Passagierverkehr,10672,112
2022-03-16,Fracht Cargo,0,4
2022-03-15,Fracht Express,0,20
2022-03-15,Fracht Cargo,0,
2022-03-15,Andere Kategorien,7,32
2022-03-14,Fracht Express,0,15
2022-03-13,Fracht Cargo,0,2
2022-03-12,Passagierverkehr,14983,119
2022-03-12,Fracht Express,0,4
2022-03-12,Andere Kategorien,5,71
2022-03-11,Passagierverkehr,16738,143
2022-03-11,Fracht Cargo,0,2
2022-03-10,Andere Kategorien,13,46
2022-03-08,Fracht Cargo,0,1
2022-03-08,Andere Kategorien,1,63
2022-03-07,Passagierverkehr,13451,129
2022-03-06,Passagierverkehr,17903,141
2022-03-06,Fracht Express,0,
2022-03-05,Fracht Express,0,4
2022-03-04,Andere Kategorien,3,67
2022-03-03,Fracht Express,0,18
2022-03-03,Andere Kategorien,4,34
2022-03-02,Fracht Cargo,0,3
2022-02-28,Passagierverkehr,13271,110
2022-02-28,Fracht Express,0,15
2022-02-27,Fracht Express,0,
2022-02-26,Andere Kategorien,7,75
2022-02-25,Fracht Cargo,0,2
2022-02-23,Passagierverkehr,9260,86
2022-02-22,Passagierverkehr,11773,108
2022-02-22,Fracht Express,0,18
2022-02-20,Andere Kategorien,5,24
2022-02-19,Passagierverkehr,15264,113
2022-02-19,Fracht Express,0,4
2022-02-18,Fracht Cargo,0,
2022-02-16,Andere Kategorien,2,25
2022-02-15,Fracht Cargo,0,
2022-02-14,Fracht Cargo,0,2
2022-02-13,Fracht Express,0,
2022-02-13,Andere Kategorien,5,82
2022-02-12,Fracht Express,0,4
2022-02-12,Fracht Cargo,0,4
2022-02-12,Andere Kategorien,2,102
2022-02-11,Andere Kategorien,0,62
2022-02-10,Fracht Cargo,0,
2022-02-10,Andere Kategorien,15,118
2022-02-09,Fracht Express,0,18
2022-02-06,Fracht Express,0,
2022-02-05,Andere Kategorien,161,154
2022-02-04,Passagierverkehr,10452,98
2022-02-04,Andere Kategorien,0,136
2022-02-02,Andere Kategorien,5,17
2022-02-01,Passagierverkehr,4745,63
2022-01-30,Fracht Express,0,
2022-01-29,Fracht Express,0,4
2022-01-29,Fracht Cargo,0,4
2022-01-28,Fracht Express,0,13
2022-01-28,Fracht Cargo,0,4
2022-01-27,Passagierverkehr,2893,33
2022-01-26,Passagierverkehr,4005,49
2022-01-25,Andere Kategorien,1,109
2022-01-24,Fracht Cargo,0,2
2022-01-23,Passagierverkehr,9010,101
2022-01-23,Fracht Express,0,
2022-01-23,Fracht Cargo,0,
2022-01-22,Fracht Express,0,4
2022-01-22,Andere Kategorien,7,106
2022-01-21,Passagierverkehr,8035,102
2022-01-20,Andere Kategorien,2,53
2022-01-19,Fracht Cargo,0,4
2022-01-18,Fracht Express,0,18
2022-01-18,Fracht Cargo,0,
2022-01-18,Andere Kategorien,14,30
2022-01-17,Passagierverkehr,3843,69
2022-01-16,Passagierverkehr,9451,122
2022-01-14,Fracht Cargo,0,2
2022-01-13,Passagierverkehr,3890,52
2022-01-13,Fracht Cargo,0,
2022-01-12,Fracht Cargo,0,4
2022-01-12,Andere Kategorien,2,80
2022-01-11,Passagierverkehr,5808,61
2022-01-10,Passagierverkehr,5295,85
2022-01-10,Fracht Cargo,0,
2022-01-09,Passagierverkehr,15252,167
2022-01-09,Andere Kategorien,1,30
2022-01-06,Passagierverkehr,9323,112
2022-01-06,Fracht Express,0,16
2022-01-06,Andere Kategorien,5,69
2022-01-05,Fracht Express,0,18
2022-01-05,Fracht Cargo,0,2
2022-01-05,Andere Kategorien,3,42
2022-01-04,Fracht Cargo,0,
2022-01-04,Andere Kategorien,1,13
2022-01-03,Passagierverkehr,14326,141
2022-01-02,Passagierverkehr,18658,174
2022-01-02,Fracht Express,0,
2022-01-02,Fracht Cargo,0,
2021-12-30,Fracht Express,0,16
2021-12-30,Andere Kategorien,8,46
2021-12-29,Passagierverkehr,14611,134
2021-12-29,Fracht Express,0,16
2021-12-29,Fracht Cargo,0,4
2021-12-29,Andere Kategorien,5,16
2021-12-28,Andere Kategorien,0,18
2021-12-27,Passagierverkehr,14511,137
2021-12-27,Fracht Express,0,13
2021-12-27,Fracht Cargo,0,2
2021-12-26,Fracht Express,0,
2021-12-26,Fracht Cargo,0,
2021-12-25,Andere Kategorien,0,4
2021-12-24,Fracht Cargo,0,4
2021-12-23,Fracht Express,0,18
2021-12-23,Andere Kategorien,0,41
2021-12-22,Fracht Cargo,0,8
2021-12-21,Passagierverkehr,13208,134
2021-12-21,Fracht Express,0,18
2021-12-21,Fracht Cargo,0,1
2021-12-20,Andere Kategorien,9,84
2021-12-19,Passagierverkehr,15607,157
2021-12-19,Fracht Cargo,0,
2021-12-17,Fracht Express,0,17
2021-12-16,Passagierverkehr,11410,150
2021-12-14,Passagierverkehr,7305,105
2021-12-14,Fracht Express,0,18
2021-12-14,Fracht Cargo,0,
2021-12-12,Passagierverkehr,11203,139
2021-12-10,Fracht Express,0,15
2021-12-10,Andere Kategorien,0,16
2021-12-09,Fracht Express,0,18
2021-12-09,Andere Kategorien,1,33
2021-12-08,Passagierverkehr,5585,70
2021-12-08,Fracht Cargo,0,2
2021-12-07,Fracht Express,0,18
2021-12-06,Fracht Express,0,15
2021-12-05,Fracht Express,0,
2021-12-05,Andere Kategorien,0,26
2021-12-04,Fracht Cargo,0,4
2021-12-02,Fracht Express,0,18
2021-12-02,Andere Kategorien,7,17
2021-12-01,Passagierverkehr,5090,62
2021-12-01,Andere Kategorien,4,13
2021-11-30,Passagierverkehr,7180,85
2021-11-30,Fracht Cargo,0,
2021-11-30,Andere Kategorien,10,30
2021-11-29,Passagierverkehr,10732,117
2021-11-29,Fracht Express,0,15
2021-11-29,Fracht Cargo,0,2
2021-11-29,Andere Kategorien,0,36
2021-11-27,Fracht Express,0,6
2021-11-27,Fracht Cargo,0,4
2021-11-26,Passagierverkehr,14991,138
2021-11-25,Passagierverkehr,7438,90
2021-11-25,Fracht Cargo,0,
2021-11-24,Andere Kategorien,2,94
2021-11-23,Fracht Cargo,0,
2021-11-22,Passagierverkehr,10273,116
2021-11-22,Fracht Express,0,15
2021-11-21,Fracht Cargo,0,4
2021-11-20,Fracht Cargo,0,4
2021-11-20,Andere Kategorien,2,61
2021-11-19,Fracht Express,0,14
2021-11-18,Passagierverkehr,8057,82
2021-11-17,Passagierverkehr,5803,69
2021-11-17,Andere Kategorien,7,72
2021-11-16,Fracht Cargo,0,
2021-11-14,Fracht Cargo,0,
2021-11-13,Fracht Cargo,0,4
2021-11-13,Andere Kategorien,1,64
2021-11-12,Fracht Express,0,14
2021-11-11,Fracht Express,0,18
2021-11-11,Andere Kategorien,17,23
2021-11-09,Andere Kategorien,8,44
2021-11-08,Fracht Cargo,0,2
2021-11-07,Passagierverkehr,18106,148
2021-11-07,Fracht Express,0,
2021-11-06,Passagierverkehr,13891,127
2021-11-06,Fracht Express,0,6
2021-11-05,Passagierverkehr,17732,155
2021-11-05,Fracht Cargo,0,4
2021-11-05,Andere Kategorien,7,83
2021-11-04,Fracht Cargo,0,
2021-11-03,Fracht Express,0,18
2021-11-03,Fracht Cargo,0,6
2021-11-01,Fracht Express,0,15
2022-11-25,Passagierverkehr,1492,8
2022-11-25,Fracht Express,0,
2022-11-25,Fracht Cargo,0,8
2022-11-24,Fracht Cargo,0,15
2022-11-23,Fracht Express,0,
2022-11-22,Passagierverkehr,10237,100
2022-11-22,Fracht Express,0,1
2022-11-21,Fracht Express,0,15
2022-11-19,Fracht Cargo,0,4
2022-11-18,Passagierverkehr,17399,151
2022-11-17,Fracht Cargo,0,2
