tree_species,planting_date,tree_age_total,tree_age_planted,protection_status,location,tree_group,municipality
Gewöhnliche Platane,,91,82,Gemäss Baumschutzgesetz (BSchG),Ost,Strassenbäume,Basel
Europäische Hopfenbuche,2019-03-17,13,4,Gemäss Baumschutzgesetz (BSchG),West,Strassenbäume,Basel
Säulen-Gleditschie,,42,33,Geschützt (Ersatzpflanzung),Ost,Strassenbäume,Basel
Kugel-Ahorn,2021-06-10,26,2,Geschützt (Ersatzpflanzung),Ost,Strassenbäume,Basel
Feld-Ahorn,,37,28,Gemäss Baumschutzgesetz (BSchG),Ost,Öffentliche Grünflächen,Basel
Osagedorn,2018-11-14,14,5,Gemäss Baumschutzgesetz (BSchG),West,Öffentliche Grünflächen,Basel
Südlicher Zürgelbaum,2009-04-06,23,14,Geschützt (Ersatzpflanzung),Kleinbasel,Strassenbäume,Basel
Spanischer Feld-Ahorn,2005-03-01,27,18,Geschützt (Ersatzpflanzung),Kleinbasel,Strassenbäume,Basel
Spaeths Erle,2019-03-17,13,4,Geschützt (Ersatzpflanzung),West,Strassenbäume,Basel
Winter-Linde,1970-01-01,62,53,Geschützt (Umfang),Ost,Öffentliche Grünflächen,Basel
Rot-Buche,1930-09-13,102,93,Geschützt (Umfang),Nord,Parkgrün,Riehen
Ungarische Silber-Linde,2014-11-03,18,9,Geschützt (Ersatzpflanzung),Kleinbasel,Strassenbäume,Basel
Prunus-Art,,-1,-99,Gemäss Baumschutzgesetz (BSchG),Ost,Privatbäume gepflegt durch STG,Basel
Silber-Weide,,78,69,Geschützt (Umfang),Ost,Öffentliche Grünflächen,Basel
Gemeine Rosskastanie,,50,41,Gemäss Baumschutzgesetz (BSchG),West,Strassenbäume,Basel
Gewöhnliche Platane,,-1,-99,Gemäss Baumschutzgesetz (BSchG),West,Öffentliche Grünflächen,Basel
Spitz-Ahorn,,46,37,Gemäss Baumschutzgesetz (BSchG),West,Strassenbäume,Basel
Berg-Ahorn,2014-01-01,18,9,Gemäss Baumschutzgesetz (BSchG),West,Privatbäume gepflegt durch STG,Basel
Berg-Ahorn,1960-03-01,73,63,Geschützt (Umfang),Kleinbasel,Öffentliche Grünflächen,Basel
Gemeine Rosskastanie,,28,19,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Gemeine Rosskastanie,,76,67,Gemäss Baumschutzgesetz (BSchG),West,Strassenbäume,Basel
Rot-Esche / Pennsylvanische Esche,2002-03-05,30,21,Gemäss Baumschutzgesetz (BSchG),West,Strassenbäume,Basel
Winter-Linde,2008-10-08,24,15,Gemäss Baumschutzgesetz (BSchG),Ost,Öffentliche Grünflächen,Basel
Zerr-Eiche,2019-03-18,13,4,Geschützt (Ersatzpflanzung),West,Strassenbäume,Basel
Ungarische Silber-Linde,,101,92,Gemäss Baumschutzgesetz (BSchG),West,Strassenbäume,Basel
Spitz-Ahorn,2011-11-09,21,12,Gemäss Baumschutzgesetz (BSchG),West,Strassenbäume,Basel
Schwarzkiefer,,52,43,Gemäss Baumschutzgesetz (BSchG),Ost,Öffentliche Grünflächen,Basel
Winter-Linde,1940-04-04,92,83,Geschützt (Ersatzpflanzung),Ost,Strassenbäume,Basel
Feld-Ahorn,,41,32,Gemäss Baumschutzgesetz (BSchG),Ost,Öffentliche Grünflächen,Basel
Stiel-Eiche,2010-01-01,22,13,Gemäss Baumschutzgesetz (BSchG),West,Privatbäume gepflegt durch STG,Basel
Herzblättrige Erle,2010-11-19,22,13,Gemäss Baumschutzgesetz (BSchG),West,Strassenbäume,Basel
Krim-Linde,1930-01-01,102,93,Geschützt (Umfang),Hörnli,Öffentliche Grünflächen,Basel
Gefülltblühende Rosskastanie,1970-03-01,62,53,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Gewöhnliche Platane,2014-11-13,18,9,Geschützt (Ersatzpflanzung),West,Strassenbäume,Basel
Arizona-Esche,2011-03-16,21,12,Gemäss Baumschutzgesetz (BSchG),West,Öffentliche Grünflächen,Basel
Schwarzkiefer,,57,48,Gemäss Baumschutzgesetz (BSchG),West,Öffentliche Grünflächen,Basel
Krim-Linde,,52,43,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Einblättrige Robinie,,51,42,Gemäss Baumschutzgesetz (BSchG),Ost,Strassenbäume,Basel
Gewöhnliche oder Europäische Eibe,,37,28,Gemäss Baumschutzgesetz (BSchG),Ost,Öffentliche Grünflächen,Basel
Krim-Linde,,36,27,Gemäss Baumschutzgesetz (BSchG),Ost,Strassenbäume,Basel
Krim-Linde,2001-11-01,32,22,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Feld-Ahorn,,46,37,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Öffentliche Grünflächen,Basel
Winter-Linde,2006-03-31,26,17,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Gewöhnliche Platane,,76,67,Gemäss Baumschutzgesetz (BSchG),West,Strassenbäume,Basel
Gemeine Rosskastanie,,106,97,Geschützt (Umfang),Ost,Öffentliche Grünflächen,Basel
Spitz-Ahorn,2013-03-11,-1,10,Geschützt (Ersatzpflanzung),Nord,Verkehrsgrün / Strassenbäume,Riehen
Winter-Linde,2012-03-27,-1,11,Gemäss Baumschutzgesetz (BSchG),Gottesacker,Parkgrün,Riehen
Winter-Linde,2002-03-14,31,21,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Scharlach-Rosskastanie,2002-11-12,36,21,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Säulen-Hainbuche,2020-12-01,11,2,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Gewöhnliche Platane,,72,63,Gemäss Baumschutzgesetz (BSchG),West,Privatbäume gepflegt durch STG,Basel
Gefülltblühende Rosskastanie,,44,35,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Krim-Linde,2012-03-30,20,11,Geschützt (Ersatzpflanzung),West,Öffentliche Grünflächen,Basel
Ungarische Silber-Linde,1985-03-01,47,38,Gemäss Baumschutzgesetz (BSchG),West,Strassenbäume,Basel
Krim-Linde,1940-01-01,92,83,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Schul- und Kindergartenareal,Basel
Kanada-Pappel,1950-03-01,82,73,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Gemeine Rosskastanie,2006-01-01,26,17,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Öffentliche Grünflächen,Basel
Gemeine Rosskastanie,,64,55,Gemäss Baumschutzgesetz (BSchG),Ost,Schul- und Kindergartenareal,Basel
Krim-Linde,,77,68,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Öffentliche Grünflächen,Basel
Europäische Hopfenbuche,1970-04-04,62,53,Gemäss Baumschutzgesetz (BSchG),Ost,Öffentliche Grünflächen,Basel
Gemeine Rosskastanie,,87,78,Geschützt (Umfang),Ost,Öffentliche Grünflächen,Basel
Gemeine Rosskastanie,,91,82,Gemäss Baumschutzgesetz (BSchG),Ost,Privatbäume gepflegt durch STG,Basel
Stiel-Eiche,,67,58,Gemäss Baumschutzgesetz (BSchG),Ost,Öffentliche Grünflächen,Basel
Gewöhnliche Platane,,76,67,Gemäss Baumschutzgesetz (BSchG),West,Strassenbäume,Basel
Japanische Zelkove,2008-11-03,24,15,Geschützt (Ersatzpflanzung),Kleinbasel,Strassenbäume,Basel
Gewöhnliche Platane,,76,67,Gemäss Baumschutzgesetz (BSchG),West,Strassenbäume,Basel
Stiel-Eiche,,46,37,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Öffentliche Grünflächen,Basel
Feld-Ahorn,,47,38,Gemäss Baumschutzgesetz (BSchG),West,Öffentliche Grünflächen,Basel
Baum-Hasel,2009-03-13,23,14,Geschützt (Ersatzpflanzung),Ost,Strassenbäume,Basel
Stiel-Eiche,,-1,-99,Geschützt (Umfang),Nord,Verkehrsgrün / Strassenbäume,Riehen
"Spitz-Ahorn ""Deborah""",,36,27,Gemäss Baumschutzgesetz (BSchG),West,Strassenbäume,Basel
Krim-Linde,2013-03-01,19,10,Geschützt (Ersatzpflanzung),Kleinbasel,Öffentliche Grünflächen,Basel
Vogel-Kirsche,,76,67,Gemäss Baumschutzgesetz (BSchG),Ost,Öffentliche Grünflächen,Basel
Weiss-Esche,1998-03-26,34,25,Geschützt (Ersatzpflanzung),West,Strassenbäume,Basel
Gemeine Rosskastanie,1960-03-01,73,63,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Krim-Linde,,87,78,Gemäss Baumschutzgesetz (BSchG),Ost,Schul- und Kindergartenareal,Basel
Gewöhnliche Platane,2014-11-21,17,8,Geschützt (Ersatzpflanzung),West,Strassenbäume,Basel
Schmalblättrige Purpur-Esche,1960-03-01,73,63,Geschützt (Umfang),Kleinbasel,Öffentliche Grünflächen,Basel
Spaeths Erle,2012-10-16,20,11,Gemäss Baumschutzgesetz (BSchG),Ost,Öffentliche Grünflächen,Basel
Himalaya-Zeder,2001-11-01,38,22,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Öffentliche Grünflächen,Basel
Südlicher Zürgelbaum,,67,58,Gemäss Baumschutzgesetz (BSchG),Ost,Öffentliche Grünflächen,Basel
Gewöhnliche oder Europäische Eibe,1950-03-01,82,73,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Schul- und Kindergartenareal,Basel
Gefülltblühende Rosskastanie,1974-01-01,58,49,Geschützt (Umfang),West,Öffentliche Grünflächen,Basel
Echte Walnuss,1988-09-21,44,35,Geschützt (Umfang),Süd,Verkehrsgrün / Strassenbäume,Riehen
Schwarzkiefer,,-1,-99,Geschützt (Umfang),Nord,Parkgrün,Riehen
Säulenförmiger Spitz-Ahorn,,38,29,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Öffentliche Grünflächen,Basel
Winter-Linde,2000-03-01,32,23,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Europäische Lärche,1960-01-01,72,63,Geschützt (Umfang),Hörnli,Öffentliche Grünflächen,Basel
Baum-Hasel,2011-03-24,21,12,Gemäss Baumschutzgesetz (BSchG),Ost,Strassenbäume,Basel
Gewöhnliche Hain- oder Weissbuche,,41,32,Gemäss Baumschutzgesetz (BSchG),Ost,Öffentliche Grünflächen,Basel
Feld-Ahorn,,51,42,Gemäss Baumschutzgesetz (BSchG),West,Öffentliche Grünflächen,Basel
"Spitz-Ahorn ""Reitanbachii""",,44,35,Gemäss Baumschutzgesetz (BSchG),Ost,Strassenbäume,Basel
Gewöhnliche oder Europäische Eibe,1930-01-01,102,93,Gemäss Baumschutzgesetz (BSchG),Hörnli,Öffentliche Grünflächen,Basel
Krim-Linde,,35,26,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Gemeine Rosskastanie,1930-03-01,103,93,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Öffentliche Grünflächen,Basel
Zerr-Eiche,2008-04-18,24,15,Gemäss Baumschutzgesetz (BSchG),West,Strassenbäume,Basel
Gewöhnliche Hain- oder Weissbuche,2007-09-14,-1,16,Gemäss Baumschutzgesetz (BSchG),Nord,Parkgrün,Riehen
Krim-Linde,2002-03-03,30,21,Gemäss Baumschutzgesetz (BSchG),Ost,Strassenbäume,Basel
Spitz-Ahorn,,67,58,Geschützt (Umfang),Ost,Schul- und Kindergartenareal,Basel
Krim-Linde,,92,83,Gemäss Baumschutzgesetz (BSchG),West,Strassenbäume,Basel
Einblättrige Robinie,2013-03-01,19,10,Geschützt (Ersatzpflanzung),Kleinbasel,Strassenbäume,Basel
Südlicher Zürgelbaum,2003-11-01,34,20,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Krim-Linde,1950-01-01,82,73,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Öffentliche Grünflächen,Basel
"Spitz-Ahorn ""Emerald Queen""",2000-03-20,32,23,Geschützt (Ersatzpflanzung),West,Strassenbäume,Basel
Krim-Linde,1994-01-01,38,29,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Gewöhnliche Platane,1930-03-01,107,93,Geschützt (Umfang),Kleinbasel,Schul- und Kindergartenareal,Basel
Holländische Linde,1940-03-01,93,83,Geschützt (Umfang),Kleinbasel,Schul- und Kindergartenareal,Basel
Stiel-Eiche,1960-04-04,62,63,Gemäss Baumschutzgesetz (BSchG),Ost,Öffentliche Grünflächen,Basel
Krim-Linde,,87,78,Gemäss Baumschutzgesetz (BSchG),Ost,Schul- und Kindergartenareal,Basel
Kultur-Birne,2013-03-01,19,10,Geschützt (Ersatzpflanzung),Kleinbasel,Strassenbäume,Basel
Veredelte Blut-Buche,1924-01-01,108,99,Geschützt (Umfang),Ost,Öffentliche Grünflächen,Basel
Amerikanischer Amberbaum,2007-11-19,35,16,Geschützt (Ersatzpflanzung),Kleinbasel,Strassenbäume,Basel
Stiel-Eiche,,76,67,Gemäss Baumschutzgesetz (BSchG),West,Schul- und Kindergartenareal,Basel
Säulenförmiger Spitz-Ahorn,,41,32,Gemäss Baumschutzgesetz (BSchG),West,Strassenbäume,Basel
Krim-Linde,,48,39,Gemäss Baumschutzgesetz (BSchG),West,Strassenbäume,Basel
Spitz-Ahorn,,-1,-99,Gemäss Baumschutzgesetz (BSchG),West,Strassenbäume,Basel
Spitz-Ahorn,,87,78,Geschützt (Umfang),Ost,Öffentliche Grünflächen,Basel
Gewöhnliche Platane,,-1,-99,Gemäss Baumschutzgesetz (BSchG),West,Öffentliche Grünflächen,Basel
Gewöhnliche Platane,1944-01-01,88,79,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Öffentliche Grünflächen,Basel
Schwarzkiefer,,52,43,Gemäss Baumschutzgesetz (BSchG),West,Öffentliche Grünflächen,Basel
Pyramiden-Eiche,,48,39,Gemäss Baumschutzgesetz (BSchG),West,Strassenbäume,Basel
Gewöhnliche Platane,1964-01-01,68,59,Geschützt (Umfang),Kleinbasel,Strassenbäume,Basel
Baum-Hasel,2000-03-01,32,23,Gemäss Baumschutzgesetz (BSchG),West,Strassenbäume,Basel
Krim-Linde,2008-01-01,24,15,Gemäss Baumschutzgesetz (BSchG),Hörnli,Öffentliche Grünflächen,Basel
Krim-Linde,1930-01-01,102,93,Geschützt (Umfang),Hörnli,Öffentliche Grünflächen,Basel
Amerikanische Rot-Eiche,,91,82,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Gemeine Rosskastanie,,76,67,Gemäss Baumschutzgesetz (BSchG),West,Strassenbäume,Basel
Europäische Hopfenbuche,2005-01-01,27,18,Gemäss Baumschutzgesetz (BSchG),Hörnli,Öffentliche Grünflächen,Basel
Gemeine Rosskastanie,,76,67,Gemäss Baumschutzgesetz (BSchG),Ost,Strassenbäume,Basel
Stiel-Eiche,,76,67,Geschützt (Ersatzpflanzung),Ost,Öffentliche Grünflächen,Basel
Gemeine Rosskastanie,,76,67,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Gewöhnliche Hain- oder Weissbuche,,68,59,Gemäss Baumschutzgesetz (BSchG),West,Öffentliche Grünflächen,Basel
Winter-Linde,1940-03-01,92,83,Geschützt (Umfang),Kleinbasel,Öffentliche Grünflächen,Basel
Wald-Kiefer,,71,62,Geschützt (Umfang),Kleinbasel,Öffentliche Grünflächen,Basel
Gewöhnliche Scheinakazie / Robinie,,62,53,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Gemeine Rosskastanie,,37,28,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Öffentliche Grünflächen,Basel
Europäische Hopfenbuche,2014-04-16,18,9,Gemäss Baumschutzgesetz (BSchG),West,Strassenbäume,Basel
Feld-Ahorn,,82,73,Gemäss Baumschutzgesetz (BSchG),West,Schul- und Kindergartenareal,Basel
Schneeballblättriger Ahorn,2015-03-12,17,8,Geschützt (Ersatzpflanzung),Ost,Strassenbäume,Basel
Gewöhnliche Fichte,1960-09-15,72,63,Geschützt (Umfang),Nord,Parkgrün,Riehen
Gefülltblühende Rosskastanie,,43,34,Geschützt (Ersatzpflanzung),Kleinbasel,Strassenbäume,Basel
Gefülltblühende Rosskastanie,1960-03-01,72,63,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Mädchenhaarbaum / Ginkgo,,61,52,Gemäss Baumschutzgesetz (BSchG),Ost,Strassenbäume,Basel
Berg-Ahorn,,41,32,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Krim-Linde,1930-01-01,102,93,Geschützt (Umfang),Hörnli,Öffentliche Grünflächen,Basel
Sommer-Linde,2012-10-31,20,11,Gemäss Baumschutzgesetz (BSchG),Ost,Öffentliche Grünflächen,Basel
Südlicher Zürgelbaum,2000-03-01,35,23,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Baum-Hasel,,42,33,Gemäss Baumschutzgesetz (BSchG),Ost,Strassenbäume,Basel
Japanische Flügelnuss,2015-11-23,16,7,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Gewöhnliche Platane,1950-05-05,82,73,Gemäss Baumschutzgesetz (BSchG),Ost,Privatbäume gepflegt durch STG,Basel
Gewöhnliche Platane,1960-03-01,73,63,Geschützt (Umfang),Kleinbasel,Strassenbäume,Basel
Gefülltblühende Rosskastanie,,47,38,Gemäss Baumschutzgesetz (BSchG),West,Schul- und Kindergartenareal,Basel
Krim-Linde,2001-03-03,31,22,Gemäss Baumschutzgesetz (BSchG),Ost,Strassenbäume,Basel
Silber-Ahorn,1944-01-01,88,79,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Öffentliche Grünflächen,Basel
Amerikanischer Zürgelbaum,,52,43,Gemäss Baumschutzgesetz (BSchG),Ost,Strassenbäume,Basel
"Gewöhnliche Esche ""Atlas""",2007-04-04,25,16,Geschützt (Ersatzpflanzung),Ost,Strassenbäume,Basel
Hängebirke / Weiss- oder Sandbirke,2014-03-19,18,9,Geschützt (Ersatzpflanzung),Ost,Öffentliche Grünflächen,Basel
Rot-Buche,1880-04-04,152,143,Geschützt (Umfang),Ost,Strassenbäume,Basel
Dreidornen-Gleditschie,,62,53,Geschützt (Umfang),West,Schul- und Kindergartenareal,Basel
Gewöhnliche Platane,1964-01-01,68,59,Gemäss Baumschutzgesetz (BSchG),Ost,Strassenbäume,Basel
,,-1,-99,Gemäss Baumschutzgesetz (BSchG),Ost,Privatbäume gepflegt durch STG,Basel
Gemeine Rosskastanie,,92,83,Gemäss Baumschutzgesetz (BSchG),West,Strassenbäume,Basel
Krim-Linde,,52,43,Geschützt (Umfang),Kleinbasel,Strassenbäume,Basel
Krim-Linde,,48,39,Gemäss Baumschutzgesetz (BSchG),Ost,Strassenbäume,Basel
Gewöhnliche Scheinakazie / Robinie,,62,53,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Herzblättrige Erle,2010-11-19,22,13,Gemäss Baumschutzgesetz (BSchG),West,Strassenbäume,Basel
Österreichische Schwarz-Kiefer,,47,38,Gemäss Baumschutzgesetz (BSchG),Ost,Öffentliche Grünflächen,Basel
Gemeine Rosskastanie,,81,72,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Österreichische Schwarz-Kiefer,1969-01-01,68,54,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Öffentliche Grünflächen,Basel
Säulenförmiger Spitz-Ahorn,2006-01-13,26,17,Geschützt (Ersatzpflanzung),Ost,Strassenbäume,Basel
Kugel-Ahorn,1993-03-03,39,30,Gemäss Baumschutzgesetz (BSchG),West,Strassenbäume,Basel
Winter-Linde,2011-01-01,22,12,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Öffentliche Grünflächen,Basel
Sommer-Linde,1970-03-03,62,53,Gemäss Baumschutzgesetz (BSchG),Ost,Privatbäume gepflegt durch STG,Basel
Krim-Linde,1980-03-01,53,43,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Spanischer Feld-Ahorn,2011-04-01,21,12,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Privatbäume gepflegt durch STG,Basel
Dornlose Gleditschie,,77,68,Gemäss Baumschutzgesetz (BSchG),Ost,Schul- und Kindergartenareal,Basel
Spitz-Ahorn,,-1,-99,Gemäss Baumschutzgesetz (BSchG),West,Strassenbäume,Basel
Holländische Linde,1940-03-01,93,83,Geschützt (Umfang),Kleinbasel,Schul- und Kindergartenareal,Basel
Krim-Linde,2017-11-07,15,6,Gemäss Baumschutzgesetz (BSchG),West,Strassenbäume,Basel
Kanada-Pappel,1950-03-01,82,73,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Himalaya-Birke,,34,25,Geschützt (Umfang),Ost,Öffentliche Grünflächen,Basel
Silber-Ahorn,,76,67,Gemäss Baumschutzgesetz (BSchG),West,Schul- und Kindergartenareal,Basel
Gewöhnliche Platane,,77,68,Gemäss Baumschutzgesetz (BSchG),Ost,Öffentliche Grünflächen,Basel
Amerikanischer Tulpenbaum,,58,49,Gemäss Baumschutzgesetz (BSchG),Ost,Schul- und Kindergartenareal,Basel
Gefülltblühende Rosskastanie,,91,82,Gemäss Baumschutzgesetz (BSchG),Ost,Öffentliche Grünflächen,Basel
Riesen-Lebensbaum,,68,59,Gemäss Baumschutzgesetz (BSchG),West,Öffentliche Grünflächen,Basel
Gewöhnliche Platane,1950-11-26,81,72,Geschützt (Umfang),Süd,Parkgrün,Riehen
Spitz-Ahorn,,57,48,Gemäss Baumschutzgesetz (BSchG),Ost,Öffentliche Grünflächen,Basel
Gemeine Rosskastanie,1975-03-01,57,48,Geschützt (Umfang),Kleinbasel,Strassenbäume,Basel
Amerikanischer Tulpenbaum,2010-11-10,22,13,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Öffentliche Grünflächen,Basel
Gewöhnliche Esche,,37,28,Gemäss Baumschutzgesetz (BSchG),Ost,Öffentliche Grünflächen,Basel
Wald-Kiefer,,57,48,Geschützt (Umfang),West,Schul- und Kindergartenareal,Basel
Thüringer Mehlbeere,,33,24,Gemäss Baumschutzgesetz (BSchG),Ost,Strassenbäume,Basel
Gewöhnliche Platane,,87,78,Gemäss Baumschutzgesetz (BSchG),Ost,Schul- und Kindergartenareal,Basel
Pyramiden Pappel,2005-01-01,27,18,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Öffentliche Grünflächen,Basel
Krim-Linde,1959-01-01,73,64,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Gewöhnliche oder Europäische Eibe,1930-01-01,102,93,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Öffentliche Grünflächen,Basel
Gemeine Rosskastanie,,76,67,Gemäss Baumschutzgesetz (BSchG),West,Strassenbäume,Basel
Gemeine Rosskastanie,,87,78,Gemäss Baumschutzgesetz (BSchG),West,Öffentliche Grünflächen,Basel
Berg-Ahorn,2009-01-01,23,14,Gemäss Baumschutzgesetz (BSchG),West,Privatbäume gepflegt durch STG,Basel
Leder-Weissdorn,2010-03-30,22,13,Gemäss Baumschutzgesetz (BSchG),West,Strassenbäume,Basel
Krim-Linde,,54,45,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Gewöhnliche Platane,,55,46,Gemäss Baumschutzgesetz (BSchG),Ost,Strassenbäume,Basel
Berg-Ahorn,,36,27,Geschützt (Umfang),Ost,Öffentliche Grünflächen,Basel
Gemeine Rosskastanie,,126,117,Nicht geschützt (BL Waldzone etc.),Ost,Privatbäume gepflegt durch STG,Basel
Pagoden-Hartriegel,,64,55,Gemäss Baumschutzgesetz (BSchG),Ost,Strassenbäume,Basel
Rotblühende Rosskastanie,,36,27,Gemäss Baumschutzgesetz (BSchG),Ost,Strassenbäume,Basel
Erlenblättrige Mehlbeere,2016-03-17,16,7,Gemäss Baumschutzgesetz (BSchG),West,Strassenbäume,Basel
Schwarz-Erle,2012-03-16,20,11,Gemäss Baumschutzgesetz (BSchG),West,Öffentliche Grünflächen,Basel
Gemeine Rosskastanie,1990-01-01,42,33,Geschützt (Umfang),Ost,Öffentliche Grünflächen,Basel
Gewöhnliche Platane,1964-01-01,68,59,Gemäss Baumschutzgesetz (BSchG),Ost,Strassenbäume,Basel
Spitz-Ahorn,,47,38,Gemäss Baumschutzgesetz (BSchG),West,Schul- und Kindergartenareal,Basel
Weissrindige Himalaja Birke,2015-02-19,17,8,Geschützt (Ersatzpflanzung),West,Privatbäume gepflegt durch STG,Basel
Holländische Ulme,1999-11-02,33,24,Gemäss Baumschutzgesetz (BSchG),West,Öffentliche Grünflächen,Basel
Holländische Linde,1985-03-01,48,38,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Krim-Linde,2011-03-24,21,12,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Öffentliche Grünflächen,Basel
Gewöhnliche Esche,1960-01-01,72,63,Geschützt (Umfang),Ost,Öffentliche Grünflächen,Basel
Spitz-Ahorn,1990-09-27,42,33,Gemäss Baumschutzgesetz (BSchG),Nord,Verkehrsgrün / Strassenbäume,Riehen
Winter-Linde,,52,43,Gemäss Baumschutzgesetz (BSchG),West,Öffentliche Grünflächen,Basel
Rotblühende Rosskastanie,,91,82,Gemäss Baumschutzgesetz (BSchG),Ost,Strassenbäume,Basel
Blumen-Esche,2014-10-30,18,9,Geschützt (Ersatzpflanzung),West,Strassenbäume,Basel
Gefülltblühende Rosskastanie,1984-01-01,48,39,Geschützt (Umfang),West,Öffentliche Grünflächen,Basel
Schlitzblättrige Rot-Buche,2013-03-21,19,10,Geschützt (Ersatzpflanzung),West,Öffentliche Grünflächen,Basel
Berg-Ahorn,,-1,-99,Nicht geschützt (BL Waldzone etc.),Ost,Öffentliche Grünflächen,Basel
Weiss-Esche,2003-04-03,29,20,Geschützt (Ersatzpflanzung),West,Strassenbäume,Basel
Krim-Linde,,97,88,Gemäss Baumschutzgesetz (BSchG),West,Öffentliche Grünflächen,Basel
Japanische Zelkove,2008-11-03,24,15,Geschützt (Ersatzpflanzung),Kleinbasel,Strassenbäume,Basel
Krim-Linde,1980-03-01,53,43,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Gewöhnliche Platane,,82,73,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Schul- und Kindergartenareal,Basel
Flatter-Ulme,1998-02-01,34,25,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Krim-Linde,1930-01-01,102,93,Geschützt (Umfang),Hörnli,Öffentliche Grünflächen,Basel
Gewöhnliche Hain- oder Weissbuche,1964-01-01,68,59,Geschützt (Umfang),West,Öffentliche Grünflächen,Basel
Echte Walnuss,,67,58,Geschützt (Umfang),Ost,Schul- und Kindergartenareal,Basel
Gemeine Rosskastanie,,70,61,Gemäss Baumschutzgesetz (BSchG),West,Strassenbäume,Basel
Feld-Ahorn,,64,55,Gemäss Baumschutzgesetz (BSchG),Ost,Öffentliche Grünflächen,Basel
Krim-Linde,,58,49,Gemäss Baumschutzgesetz (BSchG),West,Strassenbäume,Basel
Spitz-Ahorn,,107,98,Geschützt (Umfang),Ost,Öffentliche Grünflächen,Basel
Krim-Linde,,50,41,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Weide,1990-03-05,42,33,Gemäss Baumschutzgesetz (BSchG),Nord,Landschaftsgrün,Riehen
