tree_species,planting_date,tree_age_total,tree_age_planted,protection_status,location,tree_group,municipality
Gewöhnliche oder Europäische Eibe,1964-01-01,68,59,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Öffentliche Grünflächen,Basel
Gewöhnlicher Judasbaum,2001-03-01,31,22,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Spitz-Ahorn,,-1,-99,Geschützt (Umfang),Ost,Öffentliche Grünflächen,Basel
Gemeine Rosskastanie,1954-01-01,78,69,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Ungarische Silber-Linde,2001-03-15,32,22,Geschützt (Umfang),Kleinbasel,Strassenbäume,Basel
Amerikanischer Zürgelbaum,,38,29,Gemäss Baumschutzgesetz (BSchG),West,Öffentliche Grünflächen,Basel
Gewöhnliche Platane,,82,73,Gemäss Baumschutzgesetz (BSchG),West,Schul- und Kindergartenareal,Basel
Spitz-Ahorn,1970-01-01,62,53,Geschützt (Umfang),Hörnli,Öffentliche Grünflächen,Basel
Hängebirke / Weiss- oder Sandbirke,1980-01-01,52,43,Gemäss Baumschutzgesetz (BSchG),Hörnli,Öffentliche Grünflächen,Basel
"Gewöhnliche Esche ""Atlas""",2007-04-04,25,16,Geschützt (Ersatzpflanzung),Ost,Strassenbäume,Basel
Gemeine Rosskastanie,2001-03-01,34,22,Geschützt (Ersatzpflanzung),Kleinbasel,Strassenbäume,Basel
Flatter-Ulme,2014-04-07,18,9,Geschützt (Ersatzpflanzung),Kleinbasel,Strassenbäume,Basel
Blut- oder Kirsch-Pflaume,2012-03-22,20,11,Geschützt (Ersatzpflanzung),Ost,Strassenbäume,Basel
Zerr-Eiche,2013-04-12,26,10,Gemäss Baumschutzgesetz (BSchG),West,Öffentliche Grünflächen,Basel
Südlicher Zürgelbaum,2006-02-21,26,17,Gemäss Baumschutzgesetz (BSchG),West,Strassenbäume,Basel
Berg-Ahorn,,67,58,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Öffentliche Grünflächen,Basel
Seiden-Akazie,2009-03-26,23,14,Gemäss Baumschutzgesetz (BSchG),West,Strassenbäume,Basel
Gewöhnliche Hain- oder Weissbuche,,-1,-99,Gemäss Baumschutzgesetz (BSchG),Ost,Öffentliche Grünflächen,Basel
Flaum-Eiche,2016-12-20,15,6,Gemäss Baumschutzgesetz (BSchG),West,Öffentliche Grünflächen,Basel
Eisenholzbaum,1993-01-01,39,30,Gemäss Baumschutzgesetz (BSchG),West,Privatbäume gepflegt durch STG,Basel
Krim-Linde,1982-01-01,55,41,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Gemeine Rosskastanie,1920-03-03,112,103,Geschützt (Ersatzpflanzung),Ost,Öffentliche Grünflächen,Basel
Gewöhnliche Platane,1989-01-01,43,34,Gemäss Baumschutzgesetz (BSchG),West,Öffentliche Grünflächen,Basel
Gewöhnliche Platane,,107,98,Gemäss Baumschutzgesetz (BSchG),Ost,Öffentliche Grünflächen,Basel
Spitz-Ahorn,,42,33,Gemäss Baumschutzgesetz (BSchG),West,Schul- und Kindergartenareal,Basel
Japanischer Pagodenbaum,2002-03-04,30,21,Geschützt (Ersatzpflanzung),Ost,Öffentliche Grünflächen,Basel
Gewöhnliche Platane,1944-01-01,88,79,Gemäss Baumschutzgesetz (BSchG),Ost,Strassenbäume,Basel
Gemeine Rosskastanie,,46,37,Gemäss Baumschutzgesetz (BSchG),Ost,Schul- und Kindergartenareal,Basel
Gewöhnliche oder Europäische Eibe,,67,58,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Öffentliche Grünflächen,Basel
Erlenblättrige Mehlbeere,2017-10-30,15,6,Gemäss Baumschutzgesetz (BSchG),Ost,Strassenbäume,Basel
Spitz-Ahorn,1965-01-01,72,58,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Schul- und Kindergartenareal,Basel
Gewöhnliche oder Europäische Eibe,,17,8,Gemäss Baumschutzgesetz (BSchG),Ost,Öffentliche Grünflächen,Basel
Morgenländischer Lebensbaum,1950-01-01,82,73,Geschützt (Umfang),Ost,Öffentliche Grünflächen,Basel
Gewöhnliche Hain- oder Weissbuche,,47,38,Gemäss Baumschutzgesetz (BSchG),Ost,Strassenbäume,Basel
Berg-Ahorn,2008-03-03,14,15,Nicht geschützt (BL Waldzone etc.),Ost,Öffentliche Grünflächen,Basel
Gemeine Rosskastanie,,106,97,Geschützt (Umfang),Ost,Öffentliche Grünflächen,Basel
Krim-Linde,2017-03-30,15,6,Geschützt (Ersatzpflanzung),West,Strassenbäume,Basel
Tulpen-Magnolie,1970-01-01,62,53,Gemäss Baumschutzgesetz (BSchG),Hörnli,Öffentliche Grünflächen,Basel
Säulenbirke,2014-04-16,18,9,Geschützt (Ersatzpflanzung),Kleinbasel,Strassenbäume,Basel
Kegelförmiger Spitz-Ahorn,1980-09-27,52,43,Geschützt (Umfang),Nord,Verkehrsgrün / Strassenbäume,Riehen
Gewöhnliche Hain- oder Weissbuche,,46,37,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Öffentliche Grünflächen,Basel
Gemeine Rosskastanie,,107,98,Gemäss Baumschutzgesetz (BSchG),West,Öffentliche Grünflächen,Basel
Krim-Linde,2011-03-25,21,12,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Mädchenhaarbaum / Ginkgo,1998-12-01,35,24,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Feld-Ahorn,,-1,-99,Gemäss Baumschutzgesetz (BSchG),Ost,Öffentliche Grünflächen,Basel
Wald-Kiefer,1997-01-01,35,26,Gemäss Baumschutzgesetz (BSchG),Hörnli,Öffentliche Grünflächen,Basel
Wald-Kiefer,2018-03-22,14,5,Geschützt (Ersatzpflanzung),West,Öffentliche Grünflächen,Basel
Säulenförmiger Spitz-Ahorn,1985-03-03,47,38,Geschützt (Ersatzpflanzung),Ost,Strassenbäume,Basel
Österreichische Schwarz-Kiefer,1980-03-01,52,43,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Schul- und Kindergartenareal,Basel
Rotblühende Rosskastanie,,86,77,Gemäss Baumschutzgesetz (BSchG),Ost,Strassenbäume,Basel
Krim-Linde,1930-01-01,102,93,Geschützt (Umfang),Hörnli,Öffentliche Grünflächen,Basel
Gewöhnliche Platane,,56,47,Gemäss Baumschutzgesetz (BSchG),Ost,Strassenbäume,Basel
Berg-Ahorn,1998-01-01,35,25,Geschützt (Umfang),Kleinbasel,Strassenbäume,Basel
Krim-Linde,1999-03-09,33,24,Gemäss Baumschutzgesetz (BSchG),West,Strassenbäume,Basel
Krim-Linde,,66,57,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Gefülltblühende Rosskastanie,1997-09-22,35,26,Gemäss Baumschutzgesetz (BSchG),West,Schul- und Kindergartenareal,Basel
Gewöhnliche Hain- oder Weissbuche,2014-03-03,8,9,Nicht geschützt (BL Waldzone etc.),Ost,Öffentliche Grünflächen,Basel
Stiel-Eiche,,-1,-99,Geschützt (Umfang),Süd,Parkgrün,Riehen
Spitz-Ahorn,2011-11-09,21,12,Gemäss Baumschutzgesetz (BSchG),West,Strassenbäume,Basel
Wald-Kiefer,,-1,-99,Geschützt (Umfang),Nord,Landschaftsgrün,Riehen
Felsen-Ahorn / Burgen-Ahorn,2005-01-01,27,18,Gemäss Baumschutzgesetz (BSchG),Hörnli,Öffentliche Grünflächen,Basel
Chinesische Birne,,-1,-99,Gemäss Baumschutzgesetz (BSchG),West,Privatbäume gepflegt durch STG,Basel
Spitz-Ahorn,,-1,-99,Gemäss Baumschutzgesetz (BSchG),West,Strassenbäume,Basel
Krim-Linde,1930-01-01,102,93,Geschützt (Umfang),Hörnli,Öffentliche Grünflächen,Basel
Gemeine Rosskastanie,,67,58,Gemäss Baumschutzgesetz (BSchG),Ost,Öffentliche Grünflächen,Basel
Speierling,1993-01-01,39,30,Gemäss Baumschutzgesetz (BSchG),West,Öffentliche Grünflächen,Basel
Europäische Hopfenbuche,1960-04-04,72,63,Geschützt (Umfang),Ost,Öffentliche Grünflächen,Basel
Baum-Hasel,1964-01-01,68,59,Gemäss Baumschutzgesetz (BSchG),West,Strassenbäume,Basel
Echte Walnuss,,64,55,Gemäss Baumschutzgesetz (BSchG),Ost,Öffentliche Grünflächen,Basel
Krim-Linde,,58,49,Gemäss Baumschutzgesetz (BSchG),West,Strassenbäume,Basel
Echte Walnuss,,87,78,Gemäss Baumschutzgesetz (BSchG),Ost,Öffentliche Grünflächen,Basel
Kugel-Ahorn,1973-01-01,59,50,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Eisenholzbaum,2007-03-16,25,16,Gemäss Baumschutzgesetz (BSchG),West,Strassenbäume,Basel
Vogel-Kirsche,1997-01-01,35,26,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Krim-Linde,,38,29,Gemäss Baumschutzgesetz (BSchG),Ost,Strassenbäume,Basel
Küstensequoia / Redwood,2006-12-12,25,16,Gemäss Baumschutzgesetz (BSchG),West,Öffentliche Grünflächen,Basel
Spitz-Ahorn,,-1,-99,Gemäss Baumschutzgesetz (BSchG),West,Strassenbäume,Basel
Ungarische Silber-Linde,2011-03-31,21,12,Gemäss Baumschutzgesetz (BSchG),West,Öffentliche Grünflächen,Basel
Rotblühende Rosskastanie,1920-01-01,112,103,Geschützt (Umfang),Kleinbasel,Öffentliche Grünflächen,Basel
Winter-Linde,1979-01-01,53,44,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Öffentliche Grünflächen,Basel
Gewöhnliche Fichte,2006-12-12,25,16,Gemäss Baumschutzgesetz (BSchG),West,Öffentliche Grünflächen,Basel
Gewöhnliche Platane,,47,38,Gemäss Baumschutzgesetz (BSchG),West,Schul- und Kindergartenareal,Basel
Spitz-Ahorn,1970-01-01,62,53,Geschützt (Umfang),Ost,Öffentliche Grünflächen,Basel
Krim-Linde,1959-01-01,73,64,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Zucker-Ahorn,2014-03-27,18,9,Geschützt (Ersatzpflanzung),West,Öffentliche Grünflächen,Basel
Spanischer Feld-Ahorn,2006-03-01,26,17,Geschützt (Ersatzpflanzung),Kleinbasel,Strassenbäume,Basel
Kolchischer Ahorn,2014-10-30,18,9,Geschützt (Ersatzpflanzung),West,Strassenbäume,Basel
Gewöhnliche Hain- oder Weissbuche,,52,43,Geschützt (Umfang),Kleinbasel,Öffentliche Grünflächen,Basel
Gewöhnliche Platane,,-1,-99,Gemäss Baumschutzgesetz (BSchG),Ost,Öffentliche Grünflächen,Basel
Gemeine Trauben-Kirsche,,25,16,Gemäss Baumschutzgesetz (BSchG),Ost,Strassenbäume,Basel
Spitz-Ahorn,1980-03-01,52,43,Geschützt (Umfang),Kleinbasel,Strassenbäume,Basel
Spanischer Feld-Ahorn,,38,29,Gemäss Baumschutzgesetz (BSchG),Ost,Strassenbäume,Basel
Blut- oder Kirsch-Pflaume,2009-03-13,23,14,Geschützt (Ersatzpflanzung),Ost,Strassenbäume,Basel
Simons Pappel,2017-03-27,15,6,Geschützt (Ersatzpflanzung),Ost,Öffentliche Grünflächen,Basel
Baum-Hasel,1997-03-03,35,26,Gemäss Baumschutzgesetz (BSchG),West,Strassenbäume,Basel
Winter-Linde,,67,58,Gemäss Baumschutzgesetz (BSchG),Ost,Öffentliche Grünflächen,Basel
Gewöhnliche Platane,,61,52,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Gewöhnliche Scheinakazie / Robinie,,62,53,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Krim-Linde,,62,53,Gemäss Baumschutzgesetz (BSchG),West,Strassenbäume,Basel
Gewöhnliche Hain- oder Weissbuche,,87,78,Gemäss Baumschutzgesetz (BSchG),West,Öffentliche Grünflächen,Basel
Krim-Linde,2000-04-04,32,23,Gemäss Baumschutzgesetz (BSchG),West,Strassenbäume,Basel
Kugel-Ahorn,,46,37,Gemäss Baumschutzgesetz (BSchG),Ost,Strassenbäume,Basel
Gemeine Rosskastanie,,70,61,Gemäss Baumschutzgesetz (BSchG),West,Strassenbäume,Basel
Gemeine Rosskastanie,,76,67,Gemäss Baumschutzgesetz (BSchG),West,Strassenbäume,Basel
Gewöhnliche Platane,,67,58,Geschützt (Umfang),Kleinbasel,Schul- und Kindergartenareal,Basel
